Price Type,Net Type,Validity,MB Start,MB End,Voice Start,Voice End,Price,Market Price
APPM,Onnet,1,0,3,0,4,0.36,1.26
APPM,Onnet,1,0,3,5,9,0.36,1.26
APPM,Onnet,1,0,3,10,14,0.36,1.26
APPM,Onnet,1,0,3,15,19,0.36,1.26
APPM,Onnet,1,0,3,20,24,0.36,1.26
APPM,Onnet,1,0,3,25,29,0.33,1.26
APPM,Onnet,1,0,3,30,39,0.33,1.26
APPM,Onnet,1,0,3,40,49,0.33,1.26
APPM,Onnet,1,0,3,50,59,0.3,1.26
APPM,Onnet,1,0,3,60,69,0.3,1.26
APPM,Onnet,1,0,3,70,79,0.3,1.26
APPM,Onnet,1,0,3,80,89,0.3,1.26
APPM,Onnet,1,0,3,90,99,0.3,1.26
APPM,Onnet,1,0,3,100,149,0.3,1.26
APPM,Onnet,1,0,3,150,199,0.3,1.26
APPM,Onnet,1,0,3,200,249,0.3,1.26
APPM,Onnet,1,0,3,250,299,0.3,1.26
APPM,Onnet,1,0,3,300,349,0.3,1.26
APPM,Onnet,1,0,3,350,399,0.3,1.26
APPM,Onnet,1,0,3,400,449,0.3,1.26
APPM,Onnet,1,0,3,450,499,0.3,1.26
APPM,Onnet,1,0,3,500,599,0.3,1.26
APPM,Onnet,1,0,3,600,699,0.3,1.26
APPM,Onnet,1,0,3,700,799,0.3,1.26
APPM,Onnet,1,0,3,800,899,0.3,1.26
APPM,Onnet,1,0,3,900,999,0.3,1.26
APPM,Onnet,1,0,3,1000,1499,0.3,1.26
APPM,Onnet,1,0,3,1500,1999,0.3,1.26
APPM,Onnet,1,0,3,2000,,0.3,1.26
,,,,,,,,
APPM,Onnet,1,4,9,0,4,0.36,1.26
APPM,Onnet,1,4,9,5,9,0.36,1.26
APPM,Onnet,1,4,9,10,14,0.36,1.26
APPM,Onnet,1,4,9,15,19,0.36,1.26
APPM,Onnet,1,4,9,20,24,0.36,1.26
APPM,Onnet,1,4,9,25,29,0.33,1.26
APPM,Onnet,1,4,9,30,39,0.33,1.26
APPM,Onnet,1,4,9,40,49,0.33,1.26
APPM,Onnet,1,4,9,50,59,0.3,1.26
APPM,Onnet,1,4,9,60,69,0.3,1.26
APPM,Onnet,1,4,9,70,79,0.3,1.26
APPM,Onnet,1,4,9,80,89,0.3,1.26
APPM,Onnet,1,4,9,90,99,0.3,1.26
APPM,Onnet,1,4,9,100,149,0.3,1.26
APPM,Onnet,1,4,9,150,199,0.3,1.26
APPM,Onnet,1,4,9,200,249,0.3,1.26
APPM,Onnet,1,4,9,250,299,0.3,1.26
APPM,Onnet,1,4,9,300,349,0.3,1.26
APPM,Onnet,1,4,9,350,399,0.3,1.26
APPM,Onnet,1,4,9,400,449,0.3,1.26
APPM,Onnet,1,4,9,450,499,0.3,1.26
APPM,Onnet,1,4,9,500,599,0.3,1.26
APPM,Onnet,1,4,9,600,699,0.3,1.26
APPM,Onnet,1,4,9,700,799,0.3,1.26
APPM,Onnet,1,4,9,800,899,0.3,1.26
